url;brand;category;price;size;delivery time;now
https://www.zalando.nl/north-hill-paris-cortot-shorts-beige-n0f22f003-b11.html;NORTH HILL PARIS;CORTOT - Shorts;139,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/jack-and-jones-sweater-navy-blazer-ja222s2e1-k11.html;Jack & Jones;Sweater;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/redefined-rebel-melvin-shorts-sandshell-r0622f02d-b11.html;Redefined Rebel;MELVIN  - Shorts;29,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/polo-ralph-lauren-repsters-shorts-white-po222f08q-a11.html;Polo Ralph Lauren;REPSTERS  - Shorts;109,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/tom-tailor-structured-serafino-longsleeve-longsleeve-sky-captain-blue-to222o11s-k11.html;TOM TAILOR;STRUCTURED SERAFINO LONGSLEEVE - Longsleeve;29,99;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/blend-hoodie-dutch-blue-bl522s09s-k11.html;Blend;Sweater;34,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/arket-hoodie-dark-blue-aru22s008-k12.html;ARKET;Sweater;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/lindbergh-checked-pleat-shorts-sand-lg522f01c-b11.html;Lindbergh;CHECKED PLEAT  - Shorts;39,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/tom-tailor-denim-overhemd-creme-to722d0q9-a11.html;TOM TAILOR DENIM;Overhemd;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/tom-tailor-denim-overhemd-sky-captain-blue-to722d0q9-k11.html;TOM TAILOR DENIM;Overhemd;39,99;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/massimo-dutti-chino-dark-blue-m3i22e0b8-k11.html;Massimo Dutti;Chino;59,95;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/replay-t-shirt-print-white-re322o0ct-a11.html;Replay;HAWAII - T-shirt print;49,00;;3-6;2022-03-17 17:06:48.298391
https://www.zalando.nl/hackett-london-drawstring-trainingsbroek-navy-ht622f01a-k11.html;Hackett London;DRAWSTRING - Shorts;129,95;;4-8;2022-03-17 17:06:48.298391
https://www.zalando.nl/won-hundred-wayne-relaxed-fit-jeans-coffee-bean-wo322e00x-o11.html;Won Hundred;WAYNE - Relaxed fit jeans;174,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/ellesse-rubia-trainingsbroek-green-el922f02b-m11.html;Ellesse;RUBIA - Shorts;44,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-sewalk-shorts-dark-blue-bb122f071-k11.html;BOSS;SEWALK - Shorts;79,95;;1-2;2022-03-17 17:06:48.298391
https://www.zalando.nl/boss-sewalk-shorts-dark-green-bb122f071-m11.html;BOSS;SEWALK - Shorts;79,95;;1-2;2022-03-17 17:06:48.298391
