date,date_ymd,url,brand,category,price,size,delivery_time,color
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-trui-blue-zir01i42z-001.html,Jack & Jones,Trui,19.9,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-grey-zir01e0rw-001.html,Jack & Jones,Sweater,18.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-london-trui-grey-zir011ook-001.html,Marks & Spencer,Trui,23.6,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/g-star-trui-grey-zir01tck1-001.html,G-Star,Trui,23.9,XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hugo-trui-blue-zir0171b5-001.html,HUGO,Trui,36.9,XXL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-mottled-red-white-zir010asx-001.html,Jack & Jones,Sweater,18.9,L,3-6,mottled red. white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/brax-trui-grey-zir01i0mz-001.html,BRAX,Trui,23.9,52,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/soliver-trui-mottled-grey-zir01bmz7-001.html,s.Oliver,Trui,17.9,S,3-6,mottled grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/g-star-fleece-trui-red-zir015zt8-001.html,G-Star,Fleece trui,23.9,M,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hollister-co-sweater-blue-zir01hivz-001.html,Hollister Co.,Hoodie,18.9,M,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/antony-morato-trui-black-zir01dsx4-001.html,Antony Morato,Trui,20.9,L,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/esprit-trui-beige-zir01cgu8-001.html,Esprit,Trui,17.9,XL,3-6,beige
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/mango-trui-blue-grey-white-zir01azsd-001.html,Mango,Trui,23.6,M,3-6,blue. grey. white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/farah-trui-blue-zir01emh4-001.html,Farah,Trui,20.9,M,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/champion-sweater-blue-zir01enzg-001.html,Champion,Sweater,21.9,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/lyle-and-scott-trui-multi-colored-zir01ch16-001.html,Lyle & Scott,Trui,22.9,M,3-6,multi-colored
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-trui-green-zir01dspm-001.html,Jack & Jones,Trui,18.9,S,3-6,green
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/superdry-trui-white-zir015prm-001.html,Superdry,Trui,17.9,M,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-trui-black-zir01i154-001.html,Marks & Spencer,Trui,20.9,XL,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-hoodie-dark-grey-zir01cgx5-001.html,Jack & Jones,Hoodie,19.9,M,3-6,dark grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/mustang-trui-grey-zir01i2vf-001.html,Mustang,Trui,18.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-sweater-grey-zir01ekez-001.html,Jack & Jones,Hoodie,18.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/marks-and-spencer-trui-brown-zir01i02c-001.html,Marks & Spencer,Trui,18.9,L,3-6,brown
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-blue-zir01hymo-001.html,Next,Trui,20.9,L,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/sweet-sktbs-sweater-red-zir01cgtt-001.html,Sweet SKTBS,Sweater,18.9,S,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-trui-blue-zir015bp2-001.html,Next,Trui,18.9,XL,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/gap-trui-red-zir01gnmw-001.html,GAP,Trui,18.9,L,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/reserved-trui-multi-colored-zir01cged-001.html,Reserved,Trui,19.9,48,3-6,multi-colored
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/selected-homme-poloshirt-grey-zir012hhc-001.html,Selected Homme,Poloshirt,18.9,S,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/kappa-poloshirt-yellow-zir012jvc-001.html,Kappa,Poloshirt,18.9,XS,3-6,yellow
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/under-armour-t-shirt-print-white-zir0144vr-001.html,Under Armour,T-shirt print,20.9,M,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nike-sportswear-t-shirt-print-grey-zir012ajf-001.html,Nike Sportswear,T-shirt print,17.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jlindeberg-poloshirt-red-zir012mfw-001.html,J.LINDEBERG,Poloshirt,21.9,L,3-6,red
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/adidas-originals-poloshirt-multi-colored-zir00whvp-001.html,adidas Originals,Poloshirt,17.9,S,3-6,multi-colored
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/naketano-t-shirt-basic-purple-zir012kzo-001.html,Naketano,T-shirt basic,18.9,L,3-6,purple
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/hilfiger-denim-t-shirt-print-grey-zir013pr5-001.html,Hilfiger Denim,T-shirt print,18.9,M,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-print-white-zir013451-001.html,Jack & Jones,T-shirt print,17.9,S,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-print-grey-zir00u74k-001.html,Jack & Jones,T-shirt print,20.2,4XL,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-basic-black-zir00uco5-001.html,Jack & Jones,T-shirt basic,18.9,S,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/reebok-t-shirt-print-grey-zir012hg0-001.html,Reebok,T-shirt print,18.9,50,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/puma-t-shirt-print-blue-zir00wlsp-001.html,Puma,T-shirt print,18.9,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/jack-and-jones-t-shirt-basic-blue-zir00w2hs-001.html,Jack & Jones,T-shirt basic,18.9,S,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/levis-t-shirt-basic-white-zir014oc7-001.html,Levi's®,T-shirt basic,17.9,L,3-6,white
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/nike-performance-t-shirt-print-grey-zir013rgq-001.html,Nike Performance,T-shirt print,19.9,L,3-6,grey
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-poloshirt-black-zir012g4s-001.html,Next,Poloshirt,18.9,S,3-6,black
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/next-poloshirt-blue-zir012lh3-001.html,Next,Poloshirt,18.9,M,3-6,blue
2022-03-19T19:12:07.424120Z,2022-03-19,https://www.zalando.nl/topman-t-shirt-print-grey-zir0131q9-001.html,Topman,T-shirt print,20.9,XL,3-6,grey
