date,date_ymd,url,brand,category,price,delivery_time,color
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/next-active-gym-andamp-training-t-shirt-basic-blue-nx322o0ya-k11.html,Next,T-shirt basic,18,1-2,blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/next-active-gym-andamp-training-t-shirt-basic-grey-nx322o0ya-c11.html,Next,T-shirt basic,18,1-2,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/mastrum-t-shirt-basic-khaki-m4822o00b-n11.html,Ma.strum,T-shirt basic,69.95,3-6,khaki
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-davey-sweater-white-nau22s00m-a11.html,NAUTICA COMPETITION,Sweater,74.95,1-2,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-chino-dark-blue-lca22e05z-k11.html,LC Waikiki,Chino,65.95,1-2,dark blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-t-shirt-print-white-lca22o0em-a11.html,LC Waikiki,T-shirt print,31.95,1-2,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/gabba-jeansshort-blue-denim-g5022f013-k11.html,Gabba,Jeansshort,79,1-2,blue denim
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/dickies-t-shirt-print-blue-di622o04f-k11.html,Dickies,T-shirt print,29,1-2,blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-slim-fit-jeans-indigo-lca22g08m-k11.html,LC Waikiki,Slim fit jeans,49.95,1-2,indigo
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/converse-trui-converse-black-co422q003-q11.html,Converse,Top,54.95,1-2,converse black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/esprit-shorts-dusty-green-es122f0cb-m11.html,Esprit,Shorts,49.99,3-6,dusty green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/esprit-shorts-rust-brown-es122f0c7-o11.html,Esprit,Shorts,39.99,3-6,rust brown
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/esprit-overhemd-black-es122d0u9-q11.html,Esprit,Overhemd,69.99,3-6,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/bikkembergs-t-shirt-print-black-6bi22o00n-q11.html,Bikkembergs,T-shirt print,85,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jlindeberg-nathan-super-shorts-batique-khaki-jl122f02b-n11.html,J.LINDEBERG,Shorts,89.95,1-2,batique khaki
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hummel-t-shirt-basic-rifle-green-hu322o01y-m11.html,Hummel,T-shirt basic,19.95,3-6,rifle green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/the-kooples-baseball-t-shirt-print-middle-grey-melange-tha22o060-c11.html,The Kooples,T-shirt print,115,1-2,middle grey melange
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/emporio-armani-t-shirt-basic-nero-ea822o06q-q11.html,Emporio Armani,T-shirt basic,99.95,1-2,nero
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/next-zakelijk-overhemd-light-pink-nx322d1fb-j11.html,Next,Zakelijk overhemd,21,1-2,light pink
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-trainingsbroek-heather-grey-hu822e00e-c11.html,Hurley,Trainingsbroek,85,1-2,heather grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/eton-t-shirt-basic-grey-et822o002-c11.html,Eton,T-shirt basic,99,3-6,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/knowledgecotton-apparel-bob-pant-chino-total-eclipse-kn222e010-k11.html,KnowledgeCotton Apparel,Chino,89.95,4-8,total eclipse
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/no-excess-t-shirt-basic-washed-blue-nok22o00p-k11.html,NO EXCESS,T-shirt basic,29.99,3-6,washed blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/massimo-dutti-chino-blue-m3i22e0b4-k11.html,Massimo Dutti,Chino,79.95,3-6,blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-poloshirt-purple-lca22p03b-i11.html,LC Waikiki,Poloshirt,19.95,1-2,purple
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/boss-zetrust-sweater-white-bb122s0cq-a11.html,BOSS,Sweater,119.95,1-2,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/matinique-pantalon-ink-blue-m6022a01w-k11.html,Matinique,Pantalon,129.95,1-2,ink blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-jeansshort-black-lca22f04m-q11.html,LC Waikiki,Jeansshort,45.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/tommy-jeans-zakelijk-overhemd-faded-sun-tob22d088-h11.html,Tommy Jeans,Zakelijk overhemd,74.9,3-6,faded sun
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/next-poloshirt-grey-nx322p0l9-c11.html,Next,Poloshirt,39,1-2,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/olymp-level-five-overhemd-rost-ol822d09o-g11.html,OLYMP Level Five,Overhemd,59.99,3-6,rost
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/wrangler-ss-western-overhemd-spotlite-wr122d06t-k12.html,Wrangler,Overhemd,59.95,1-2,spotlite
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-broek-grey-lca22e05q-c11.html,LC Waikiki,Broek,37.95,1-2,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/only-and-sons-onsivey-t-shirt-print-black-os322o15w-q11.html,Only & Sons,T-shirt print,14.99,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-overhemd-red-lca22d09s-g11.html,LC Waikiki,Overhemd,45.95,1-2,red
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/barbour-barbour-douglas-tailored-shirt-overhemd-washed-olive-ba222d04b-n11.html,Barbour,Overhemd,89.95,1-2,washed olive
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-slim-fit-jeans-indigo-lca22g08k-k11.html,LC Waikiki,Slim fit jeans,45.95,1-2,indigo
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jlindeberg-nathan-super-shorts-skyrim-jl122f02b-k12.html,J.LINDEBERG,Shorts,89.95,1-2,skyrim
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/emporio-armani-t-shirt-basic-nero-ea822o071-q11.html,Emporio Armani,T-shirt basic,99.95,1-2,nero
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/mastrum-poloshirt-yellow-m4822o00c-e11.html,Ma.strum,Poloshirt,95,3-6,yellow
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hummel-manfred-korte-broeken-black-hu344g00a-q11.html,Hummel,Korte broeken,44.95,3-6,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/soliver-t-shirt-basic-black-so222o1jl-q11.html,s.Oliver,T-shirt basic,15.99,3-6,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/soliver-t-shirt-basic-light-green-so222o1jl-m11.html,s.Oliver,T-shirt basic,15.99,3-6,light green
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-premium-jprbrook-oxford-noos-overhemd-black-jam22d08i-q12.html,Jack & Jones PREMIUM,Overhemd,39.99,3-6,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-t-shirt-print-ecru-lca22o0es-a11.html,LC Waikiki,T-shirt print,17.95,1-2,ecru
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/gant-plus-original-t-shirt-basic-day-blue-ga322o02d-k12.html,GANT,T-shirt basic,39.95,1-2,day blue
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-jcostaycation-tee-crew-neck-t-shirt-print-black-ja222o40b-q11.html,Jack & Jones,T-shirt print,17.99,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jack-and-jones-jprblabranding-tee-crew-neck-t-shirt-print-perfect-navy-ja222o40h-k11.html,Jack & Jones,T-shirt print,24.99,1-2,perfect navy
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/soliver-t-shirt-basic-white-so222o1jl-a11.html,s.Oliver,T-shirt basic,15.99,3-6,white
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/puma-golf-egrets-poloshirt-bright-whiteold-gold-pu542d02z-a11.html,Puma Golf,Poloshirt,74.95,1-2,bright white/old gold
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/converse-crafted-fashion-crew-sweater-egret-co422s06g-a11.html,Converse,Sweater,64.95,1-2,egret
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/we-fashion-jeansshort-grey-wf522f01y-c11.html,WE Fashion,Jeansshort,50,1-2,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-t-shirt-basic-ecru-lca22o0f5-c11.html,LC Waikiki,T-shirt basic,19.95,1-2,ecru
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-overhemd-petrol-lca22d09x-q11.html,LC Waikiki,Overhemd,45.95,1-2,petrol
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/hurley-worker-icon-chino-khaki-hu822e009-b11.html,Hurley,Chino,60,1-2,khaki
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/qs-by-soliver-t-shirt-basic-beige-qs122o0ke-b11.html,QS by s.Oliver,T-shirt basic,17.99,3-6,beige
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/qs-by-soliver-t-shirt-basic-black-grey-qs122o0ke-q11.html,QS by s.Oliver,T-shirt basic,17.99,3-6,black grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/nautica-competition-gybe-jog-pant-trainingsbroek-dark-navy-nau22e008-k11.html,NAUTICA COMPETITION,Trainingsbroek,59.95,1-2,dark navy
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-shorts-black-lca22f04e-q11.html,LC Waikiki,Shorts,35.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-trui-grey-lca21i0co-c11.html,LC Waikiki,Trui,35.95,1-2,grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-broek-beige-lca22e061-b11.html,LC Waikiki,Broek,45.95,1-2,beige
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/bikkembergs-sweater-light-grey-6bi22s00h-c11.html,Bikkembergs,Sweater,155,1-2,light grey
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/esprit-collection-clt-f-poloshirt-brown-es422p01t-o13.html,Esprit Collection,Poloshirt,39.99,3-6,brown
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/lc-waikiki-long-sleeve-sweater-fushia-lca22s07l-j11.html,LC Waikiki,Sweater,35.95,1-2,fushia
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jlindeberg-chaze-super-pants-chino-batique-khaki-jl122e08u-n11.html,J.LINDEBERG,Chino,109.95,1-2,batique khaki
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/jlindeberg-chaze-super-pants-chino-black-jl122e08u-q11.html,J.LINDEBERG,Chino,109.95,1-2,black
2022-03-22T10:31:32.743022Z,2022-03-22,https://www.zalando.nl/massimo-dutti-overhemd-dark-blue-m3i22d0q2-k11.html,Massimo Dutti,Overhemd,49.95,3-6,dark blue
